4OR-A Quarterly Journal of Operations Research,管理科学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否,管理学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否
AAPG BULLETIN,地学 ,3区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;4区;3区;3区,否,否,地球科学 ,3区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;4区;3区;3区,否,否
AAPS Journal,医学 ,2区,PHARMACOLOGY & PHARMACY;药学;4区;3区;2区,否,否,医学 ,3区,PHARMACOLOGY & PHARMACY;药学;4区;3区;2区,否,否
AAPS PHARMSCITECH,医学 ,3区,PHARMACOLOGY & PHARMACY;药学;4区;2区;3区,否,否,医学 ,4区,PHARMACOLOGY & PHARMACY;药学;4区;2区;3区,否,否
AATCC REVIEW,工程技术 ,4区,CHEMISTRY& APPLIED;应用化学;3区;3区;4区;ENGINEERING& CHEMICAL;工程：化工;2区;2区;4区;MATERIALS SCIENCE& TEXTILES;材料科学：纺织;4区;1区;4区,否,否,材料科学 ,4区,CHEMISTRY& APPLIED;应用化学;3区;3区;4区;ENGINEERING& CHEMICAL;工程：化工;2区;2区;4区;MATERIALS SCIENCE& TEXTILES;材料科学：纺织;4区;1区;4区,否,否
ABDOMINAL IMAGING,
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,数学 ,4区,MATHEMATICS;数学;3区;2区;4区,否,否,数学 ,4区,MATHEMATICS;数学;3区;2区;4区,否,否
Abstract and Applied Analysis,
ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,
ACADEMIC EMERGENCY MEDICINE,医学 ,3区,EMERGENCY MEDICINE;急救医学;4区;2区;2区,否,否,医学 ,2区,EMERGENCY MEDICINE;急救医学;4区;2区;2区,否,否
ACADEMIC MEDICINE,医学 ,2区,EDUCATION& SCIENTIFIC DISCIPLINES;学科教育;4区;1区;1区;HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;4区;2区;1区,是,否,教育学 ,1区,EDUCATION& SCIENTIFIC DISCIPLINES;学科教育;4区;1区;1区;HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;4区;2区;1区,是,否
Academic Pediatrics,医学 ,3区,PEDIATRICS;儿科;2区;2区;2区,否,否,医学 ,2区,PEDIATRICS;儿科;2区;2区;2区,否,否
ACADEMIC RADIOLOGY,医学 ,4区,RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;3区;4区;3区,否,否,医学 ,3区,RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;3区;4区;3区,否,否
Accountability in Research-Policies and Quality Assurance,医学 ,4区,MEDICAL ETHICS;医学：伦理;4区;3区;3区,否,否,人文科学 ,3区,MEDICAL ETHICS;医学：伦理;4区;3区;3区,否,否
ACCOUNTS OF CHEMICAL RESEARCH,化学 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;2区;1区,是,是,化学 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;2区;1区,是,是
ACCREDITATION AND QUALITY ASSURANCE,工程技术 ,4区,CHEMISTRY& ANALYTICAL;分析化学;4区;4区;4区;INSTRUMENTS & INSTRUMENTATION;仪器仪表;2区;2区;4区,否,否,工程技术 ,4区,CHEMISTRY& ANALYTICAL;分析化学;4区;4区;4区;INSTRUMENTS & INSTRUMENTATION;仪器仪表;2区;2区;4区,否,否
ACI MATERIALS JOURNAL,工程技术 ,4区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;3区;1区;4区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;1区;3区;4区,否,否,工程技术 ,4区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;3区;1区;4区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;1区;3区;4区,否,否
ACI STRUCTURAL JOURNAL,工程技术 ,4区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;2区;2区;4区;ENGINEERING& CIVIL;工程：土木;1区;1区;4区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;4区;1区;4区,否,否,工程技术 ,4区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;2区;2区;4区;ENGINEERING& CIVIL;工程：土木;1区;1区;4区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;4区;1区;4区,否,否
ACM COMPUTING SURVEYS,工程技术 ,2区,COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;2区;3区;1区,是,是,计算机科学 ,1区,COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;2区;3区;1区,是,是
ACM Journal on Emerging Technologies in Computing Systems,工程技术 ,4区,COMPUTER SCIENCE& HARDWARE & ARCHITECTURE;计算机：硬件;3区;4区;4区;ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;4区;4区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;4区;3区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& HARDWARE & ARCHITECTURE;计算机：硬件;3区;4区;4区;ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;4区;4区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;4区;3区;4区,否,否
ACM SIGPLAN NOTICES,
ACM Transactions on Algorithms,工程技术 ,4区,COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;2区;4区;MATHEMATICS& APPLIED;应用数学;3区;2区;4区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;2区;4区;MATHEMATICS& APPLIED;应用数学;3区;2区;4区,否,否
ACM Transactions on Applied Perception,工程技术 ,4区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;1区;1区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;1区;1区;4区,否,否
ACM Transactions on Architecture and Code Optimization,工程技术 ,4区,COMPUTER SCIENCE& HARDWARE & ARCHITECTURE;计算机：硬件;1区;1区;4区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;1区;4区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& HARDWARE & ARCHITECTURE;计算机：硬件;1区;1区;4区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;1区;4区,否,否
ACM Transactions on Autonomous and Adaptive Systems,工程技术 ,3区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;3区;4区;4区;COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;1区;3区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;3区;3区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;3区;4区;4区;COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;1区;3区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;3区;3区,否,否
ACM Transactions on Computational Logic,工程技术 ,4区,COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;2区;4区;LOGIC;逻辑学;4区;1区;2区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;2区;4区;LOGIC;逻辑学;4区;1区;2区,否,否
ACM TRANSACTIONS ON COMPUTER SYSTEMS,工程技术 ,3区,COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;4区;2区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;3区;4区;2区,否,否
ACM Transactions on Computer-Human Interaction,工程技术 ,4区,COMPUTER SCIENCE& CYBERNETICS;计算机：控制论;4区;1区;3区;COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;2区;4区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& CYBERNETICS;计算机：控制论;4区;1区;3区;COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;2区;4区,否,否
ACM TRANSACTIONS ON DATABASE SYSTEMS,工程技术 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;1区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;2区;3区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;1区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;2区;3区,否,否
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,工程技术 ,4区,COMPUTER SCIENCE& HARDWARE & ARCHITECTURE;计算机：硬件;1区;3区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;1区;2区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& HARDWARE & ARCHITECTURE;计算机：硬件;1区;3区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;1区;2区;4区,否,否
ACM Transactions on Embedded Computing Systems,工程技术 ,4区,COMPUTER SCIENCE& HARDWARE & ARCHITECTURE;计算机：硬件;4区;2区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;1区;4区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& HARDWARE & ARCHITECTURE;计算机：硬件;4区;2区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;1区;4区,否,否
ACM TRANSACTIONS ON GRAPHICS,工程技术 ,2区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;4区;4区;1区,是,否,计算机科学 ,1区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;4区;4区;1区,是,否
ACM Transactions on Information and System Security,
ACM TRANSACTIONS ON INFORMATION SYSTEMS,工程技术 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;1区;1区;3区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;1区;1区;3区,否,否
ACM Transactions on Internet Technology,工程技术 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;2区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;4区;2区;3区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;2区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;4区;2区;3区,否,否
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,工程技术 ,3区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;2区;2区;MATHEMATICS& APPLIED;应用数学;3区;4区;1区,是,否,计算机科学 ,2区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;2区;2区;MATHEMATICS& APPLIED;应用数学;3区;4区;1区,是,否
ACM Transactions on Modeling and Computer Simulation,工程技术 ,4区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;2区;3区;4区;MATHEMATICS& APPLIED;应用数学;4区;1区;3区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;2区;3区;4区;MATHEMATICS& APPLIED;应用数学;4区;1区;3区,否,否
